Lineage,Speciation_Rate,Extinction_Rate,Net.diversification_Rate,Taxonomic.group,Biogeographic.origin,Habitat,tip_names
Pseudophilautus,0.0577998459815755,0.033800316576383,0.0239995294051924,Herpetofauna,Asian,Wet,Pseudophilautus_hypomelas
Pseudophilautus,0.0915043988786938,0.0535101365359586,0.0379942623427352,Herpetofauna,Asian,Wet,Pseudophilautus_tanu
Pseudophilautus,0.063744852167556,0.0372768499083015,0.0264680022592545,Herpetofauna,Asian,Wet,Pseudophilautus_decoris
Pseudophilautus,0.0801504913658123,0.0468705744091547,0.0332799169566577,Herpetofauna,Asian,Wet,Pseudophilautus_mittermeieri
Pseudophilautus,0.0863730523335402,0.0505094168152761,0.0358636355182641,Herpetofauna,Asian,Wet,Pseudophilautus_singu
Pseudophilautus,0.0739319470157031,0.043234080849207,0.0306978661664962,Herpetofauna,Asian,Wet,Pseudophilautus_stictomerus
Pseudophilautus,0.0567926703305203,0.0332113382620716,0.0235813320684487,Herpetofauna,Asian,Wet,Pseudophilautus_rus
Pseudophilautus,0.0425086459249848,0.0248582961614787,0.017650349763506,Herpetofauna,Asian,Wet,Pseudophilautus_limbus
Pseudophilautus,0.0430405808587876,0.0251693622007603,0.0178712186580273,Herpetofauna,Asian,Wet,Pseudophilautus_silvaticus
Pseudophilautus,0.0503543349330437,0.0294463148270782,0.0209080201059655,Herpetofauna,Asian,Wet,Pseudophilautus_schneideri
Pseudophilautus,0.0514378917739921,0.0300799594956857,0.0213579322783064,Herpetofauna,Asian,Wet,Pseudophilautus_sirilwijesundarai
Pseudophilautus,0.0821447023804069,0.0480367533577092,0.0341079490226977,Herpetofauna,Asian,Wet,Pseudophilautus_cuspis
Pseudophilautus,0.0571153943789701,0.0334000615158998,0.0237153328630702,Herpetofauna,Asian,Wet,Pseudophilautus_zorro
Pseudophilautus,0.0594190959585117,0.0347472250137203,0.0246718709447914,Herpetofauna,Asian,Wet,Pseudophilautus_dayawansai
Pseudophilautus,0.0618022483959456,0.0361408499528027,0.025661398443143,Herpetofauna,Asian,Wet,Pseudophilautus_regius
Pseudophilautus,0.0610817269751634,0.0357195019075109,0.0253622250676525,Herpetofauna,Asian,Wet,Pseudophilautus_jagathgunawardanai
Pseudophilautus,0.070015753110495,0.0409439606676976,0.0290717924427974,Herpetofauna,Asian,Wet,Pseudophilautus_kani
Pseudophilautus,0.0585640661590047,0.0342472188733096,0.0243168472856951,Herpetofauna,Asian,Wet,Pseudophilautus_amboli
Pseudophilautus,0.0578277123198719,0.0338166123128206,0.0240111000070514,Herpetofauna,Asian,Wet,Pseudophilautus_wynaadensis
Pseudophilautus,0.0699027354540249,0.0408778699627392,0.0290248654912857,Herpetofauna,Asian,Wet,Pseudophilautus_cf_folicola2
Pseudophilautus,0.0563472393685679,0.0329508581989982,0.0233963811695697,Herpetofauna,Asian,Wet,Pseudophilautus_cf_folicola1
Pseudophilautus,0.0644306020637386,0.0376778641876575,0.0267527378760811,Herpetofauna,Asian,Wet,Pseudophilautus_folicola
Pseudophilautus,0.0858603201713765,0.0502095802135393,0.0356507399578372,Herpetofauna,Asian,Wet,Pseudophilautus_semiruber
Pseudophilautus,0.0654463147793933,0.03827183482472,0.0271744799546734,Herpetofauna,Asian,Wet,Pseudophilautus_nemus
Pseudophilautus,0.0673886813090438,0.0394076960453621,0.0279809852636818,Herpetofauna,Asian,Wet,Pseudophilautus_simba
Raorchestes,0.0700353710260721,0.016095611886054,0.0539397591400181,Herpetofauna,Asian,Wet,Raorchestes_keirasabinae_CESF1268
Raorchestes,0.0753562395902945,0.0173184601990093,0.0580377793912852,Herpetofauna,Asian,Wet,Raorchestes_nerostagona_CESF1061
Raorchestes,0.06531862413311,0.0150116035308244,0.0503070206022856,Herpetofauna,Asian,Wet,Raorchestes_crustai_CESF1199
Raorchestes,0.0585471355210791,0.0134553720010519,0.0450917635200271,Herpetofauna,Asian,Wet,Raorchestes_graminirupes_CESF044
Raorchestes,0.0516274281255592,0.0118650766549777,0.0397623514705815,Herpetofauna,Asian,Wet,Raorchestes_johnceei_CESF1236
Raorchestes,0.0494159958920122,0.0113568426808872,0.038059153211125,Herpetofauna,Asian,Wet,Raorchestes_sp_CESF014
Raorchestes,0.0601876960551519,0.0138324075652982,0.0463552884898537,Herpetofauna,Asian,Wet,Raorchestes_akroparallagi_CESF061
Raorchestes,0.0603028030945134,0.0138588616013627,0.0464439414931506,Herpetofauna,Asian,Wet,Raorchestes_aff_akroparalagi_CESF1180
Raorchestes,0.0523439786449228,0.0120297551436821,0.0403142235012407,Herpetofauna,Asian,Wet,Raorchestes_bobingeri_CESF1238
Raorchestes,0.0558071195288064,0.012825658281726,0.0429814612470804,Herpetofauna,Asian,Wet,Raorchestes_aff_bobingeri_CESF1326
Raorchestes,0.0589587929985991,0.0135499796099084,0.0454088133886907,Herpetofauna,Asian,Wet,Raorchestes_glandulosus_CESF1080
Raorchestes,0.0575630807961025,0.0132292153791078,0.0443338654169947,Herpetofauna,Asian,Wet,Raorchestes_jayarami_CESF1260
Raorchestes,0.0769603503441549,0.0176871188316132,0.0592732315125416,Herpetofauna,Asian,Wet,Raorchestes_chotta_CESF1003
Raorchestes,0.0658948504467008,0.0151440325444243,0.0507508179022765,Herpetofauna,Asian,Wet,Raorchestes_blandus_CESF104
Raorchestes,0.0641020128946902,0.0147320004956305,0.0493700123990597,Herpetofauna,Asian,Wet,Raorchestes_archeos_CESF1190
Raorchestes,0.0584039470532537,0.0134224642578515,0.0449814827954022,Herpetofauna,Asian,Wet,Raorchestes_manohari_CESF1187
Raorchestes,0.0603607671928659,0.0138721829790714,0.0464885842137945,Herpetofauna,Asian,Wet,Raorchestes_uthamani_CESF483
Raorchestes,0.0506339314809384,0.0116367500798824,0.0389971814010561,Herpetofauna,Asian,Wet,Raorchestes_chalazodes_CESF1198
Raorchestes,0.0572967428643987,0.0131680052803187,0.04412873758408,Herpetofauna,Asian,Wet,Raorchestes_flaviocularis_CESF1251
Raorchestes,0.0627170761756789,0.0144137126992019,0.048303363476477,Herpetofauna,Asian,Wet,Raorchestes_ochlandrae_CESF1111
Raorchestes,0.0637117904614342,0.0146423191140243,0.0490694713474098,Herpetofauna,Asian,Wet,Raorchestes_aff_dubois_CESF1243
Raorchestes,0.0638667554118392,0.0146779333423938,0.0491888220694454,Herpetofauna,Asian,Wet,Raorchestes_dubois_CESF114
Raorchestes,0.068376509564638,0.0157143703810146,0.0526621391836234,Herpetofauna,Asian,Wet,Raorchestes_resplendens_CESF1258
Raorchestes,0.0437535773567032,0.0100554989492062,0.033698078407497,Herpetofauna,Asian,Wet,Raorchestes_beddomii_CESF072
Raorchestes,0.0459451867044185,0.010559177204206,0.0353860095002125,Herpetofauna,Asian,Wet,Raorchestes_theuerkaufi_CESF1342
Raorchestes,0.0488739420281209,0.0112322672201349,0.037641674807986,Herpetofauna,Asian,Wet,Raorchestes_aff_munnarensis_CESF285
Raorchestes,0.0519352844226765,0.0119358285536609,0.0399994558690156,Herpetofauna,Asian,Wet,Raorchestes_munnarensis_CESF094
Raorchestes,0.0665756345000693,0.0153004911415688,0.0512751433585004,Herpetofauna,Asian,Wet,Raorchestes_anili_CESF386
Raorchestes,0.0584499768672789,0.0134330428842067,0.0450169339830721,Herpetofauna,Asian,Wet,Raorchestes_sushili_CESF1259
Raorchestes,0.0493964970231821,0.0113523614277674,0.0380441355954147,Herpetofauna,Asian,Wet,Raorchestes_kaikatti_CESF444
Raorchestes,0.0409658222220216,0.0094148137636521,0.0315510084583695,Herpetofauna,Asian,Wet,Raorchestes_kakachi_CESF1375
Raorchestes,0.0425665886596557,0.00978270380154152,0.0327838848581142,Herpetofauna,Asian,Wet,Raorchestes_sp_CESF261
Raorchestes,0.0670760080724193,0.0154154875883726,0.0516605204840467,Herpetofauna,Asian,Wet,Raorchestes_aff_chlorosomma_CESF1247
